SampleID	CONTIG COUNT	TOTAL LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	GC%	T2T SCAFFOLDS	TELOMERE FWD	TELOMERE REV	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes	Mapped_reads	Average_Coverage
1306-DS																						
1371NJ	2564	14947147	500	145733	757	5829.62	120	38507	572	1869	38.68	0	6	6	15	15	0	0.2	84.8	3546	10267071	95.2
1436BN	797	14333950	502	101776	10755	17984.88	130	34703	412	10069	37.05	0	6	7	19.3	19.2	0.1	0.1	80.6	3546	15130982	139.4
1556-ZM	1163	11733028	500	90328	5757	10088.59	171	20244	654	4928	34.64	0	4	0	11.6	11.6	0	0.1	88.3	3546	10271254	130.4
1704DA	1983	19474512	490	141890	4941	9820.73	247	22017	1043	4569	38.94	0	11	3	37	36.9	0.1	0.2	62.8	3546	7626995	58.4
19VMG-15	3950	26854388	500	96300	3054	6798.58	410	17094	1987	3020	40.65	0	8	7	56.1	56	0.1	0.2	43.7	3546	19630532	108.9
20VMK11	2088	24788448	501	136123	5818	11871.86	279	26568	1027	5923	37.93	0	5	5	32.6	32.6	0	0.1	67.3	3546	26391907	142.9
297-CGG	1455	16596261	502	120738	6170	11406.36	206	23993	790	5471	38.11	0	2	10	28.2	28.2	0	0.2	71.6	3546	14588686	131
302-FLL	472	10377443	521	192988	10838	21986.11	67	48501	237	10805	40.13	0	6	3	22.3	22.3	0	0.2	77.5	3546	10591877	152.1
302FLL	1109	17517882	501	130977	8005	15796.11	162	31879	581	7522	33.92	0	8	5	18.4	18.4	0	0.1	81.5	3546	10677753	85.8
355UP	1525	14390243	503	166921	5196	9436.22	201	19006	862	4384	37.31	0	3	4	21.1	21.1	0	0.2	78.7	3546	7501244	77.7
46SS	731	11720360	501	122498	8507	16033.32	110	33466	344	9837	35.55	0	8	4	13	13	0	0.1	86.9	3546	13948082	158.4
47B	1613	16307935	500	110240	5374	10110.31	220	21393	874	4917	37.2	0	8	2	23.9	23.9	0	0.1	76	3546	7941606	72.6
562KJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
602-TD	1577	20340892	500	142622	7096	12898.47	230	24560	892	5814	36.18	0	6	5	33.4	33.3	0.1	0.2	66.4	3546	15998646	117.2
811-ND	1988	21354542	500	96119	6124	10741.72	288	19396	1141	5092	37.23	1	7	9	32.9	32.8	0.1	0.1	67	3546	16894524	117.9
Hc1986	2494	13112348	500	97040	1578	5257.56	237	14525	1037	2488	38.64	0	1	3	15.8	15.8	0	0.1	84.1	3546	15785130	180.6
HcMV3	169	5667839	500	215653	11162	33537.51	21	90978	67	24509	36.65	0	2	2	8.1	8.1	0	0.1	91.8	3546	9498916	251.4
HcMZ5	1419	14256302	500	267641	3640	10046.72	116	29707	629	4638	39.27	0	5	2	29.6	29.6	0	0.2	70.2	3546	11972361	126
HISSP-B05181-xx-CL-CIV-xxxx-036-BB	1371	17936929	500	111762	6094	13083.1	191	30089	641	7087	36.2	0	7	9	21.2	21.1	0.1	0.1	78.7	3546	6859030	57.7
HISSP-CM5788-xx-CL-xxx-xxxx-036-BB	527	12296615	502	118083	13788	23333.24	92	46644	271	13076	39.55	0	6	5	29	29	0	0.1	70.9	3546	9004210	110.6
HISSP-CM7001-xx-CL-GNQ-xxxx-036-BB	1137	14730006	500	132642	5646	12955.15	138	32639	505	7194	35.38	0	7	2	15.7	15.7	0	0.1	84.2	3546	3870306	39.7
HISSP-CM7255-xx-CL-xxx-xxxx-036-BB	110	195555	503	8518	1265	1777.77	27	2100	84	926	38.08	0	0	0	0	0	0	0	100	3546	895151	691.2
HISSP-CM7256-xx-CL-SEN-xxxx-036-BB	11079	59797550	500	115608	2409	5397.38	1286	11809	5606	2367	39.59	0	12	12	86.4	86.4	0	0.5	13.1	3546	10006569	25.3
HISSP-CM7434-xx-CL-ZAF-xxxx-036-BB	1015	14107512	500	142143	7639	13899.03	151	29815	488	8216	37.09	0	5	3	20.9	20.8	0.1	0	79.1	3546	4508110	48.3
Histo-485P20	3072	27883269	394	116993	4839	9076.58	448	18566	1561	4700	46.98	2	22	17	94.8	94.6	0.2	0.5	4.7	3546	28617184	153.9
JB_00334-Hc_00334	3	11206	564	10076	566	3735.33	1	10076	2	566	53.47	0	0	0	0	0	0	0	100	3546	28325	758.3
JB_01752-Hc_01752	11303	23508609	500	30268	1524	2079.86	2510	2926	7856	950	47.46	0	44	49	74.5	74.4	0.1	10.1	15.4	3546	758242	9.7
JB_021091-Hc_021091	6069	22583691	500	27710	2618	3721.16	1205	5896	3816	1819	48.94	0	30	21	88.7	88.6	0.1	4.3	7	3546	966375	12.8
JB_031457-Hc_031457	18337	22110550	500	7812	965	1205.79	5169	1378	14494	655	46.15	0	48	54	36.8	36.7	0.1	19.7	43.5	3546	418433	5.7
JB_031835-Hc_031835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
